GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
176c6c1e-0489-4c91-9678-a0b76d05f440	1	3301765	4430561	706	-0.1009
176c6c1e-0489-4c91-9678-a0b76d05f440	1	4431094	5773853	1073	-0.1668
176c6c1e-0489-4c91-9678-a0b76d05f440	1	5775005	6176837	204	-0.0739
176c6c1e-0489-4c91-9678-a0b76d05f440	1	6183275	6254762	25	0.3839
176c6c1e-0489-4c91-9678-a0b76d05f440	1	6256824	14470051	4161	-0.0983
176c6c1e-0489-4c91-9678-a0b76d05f440	1	14470758	15203833	582	-0.1731
176c6c1e-0489-4c91-9678-a0b76d05f440	1	15212530	17428271	883	-0.0804
176c6c1e-0489-4c91-9678-a0b76d05f440	1	17428319	18895348	1093	-0.1702
176c6c1e-0489-4c91-9678-a0b76d05f440	1	18896973	19470421	346	-0.1324
176c6c1e-0489-4c91-9678-a0b76d05f440	1	19470754	21841817	1376	-0.0772
176c6c1e-0489-4c91-9678-a0b76d05f440	1	21844077	23184455	747	-0.138
176c6c1e-0489-4c91-9678-a0b76d05f440	1	23186554	29249093	2580	-0.0697
176c6c1e-0489-4c91-9678-a0b76d05f440	1	29252645	32005625	1663	-0.1387
176c6c1e-0489-4c91-9678-a0b76d05f440	1	32011168	32811399	292	-0.7061
176c6c1e-0489-4c91-9678-a0b76d05f440	1	32815047	33597903	408	-0.1026
176c6c1e-0489-4c91-9678-a0b76d05f440	1	33599192	34678280	802	-0.1691
176c6c1e-0489-4c91-9678-a0b76d05f440	1	34679412	41353860	3438	-0.0898
176c6c1e-0489-4c91-9678-a0b76d05f440	1	41355898	42807569	924	-0.1697
176c6c1e-0489-4c91-9678-a0b76d05f440	1	42807837	47755033	2560	-0.0888
176c6c1e-0489-4c91-9678-a0b76d05f440	1	47755373	49325808	1025	-0.1939
176c6c1e-0489-4c91-9678-a0b76d05f440	1	49328034	54133040	2285	-0.1035
176c6c1e-0489-4c91-9678-a0b76d05f440	1	54137895	55086896	600	-0.1746
176c6c1e-0489-4c91-9678-a0b76d05f440	1	55086963	55886843	634	-0.1252
176c6c1e-0489-4c91-9678-a0b76d05f440	1	55886944	63001924	5180	-0.1886
176c6c1e-0489-4c91-9678-a0b76d05f440	1	63002242	65577429	1862	-0.1366
176c6c1e-0489-4c91-9678-a0b76d05f440	1	65580244	66949978	1053	-0.0465
176c6c1e-0489-4c91-9678-a0b76d05f440	1	66951872	69277944	1512	-0.1545
176c6c1e-0489-4c91-9678-a0b76d05f440	1	69279541	80826565	6430	-0.1309
176c6c1e-0489-4c91-9678-a0b76d05f440	1	80827228	84448899	2320	-0.1767
176c6c1e-0489-4c91-9678-a0b76d05f440	1	84449617	92622355	5133	-0.1228
176c6c1e-0489-4c91-9678-a0b76d05f440	1	92624773	94020934	728	-0.0633
176c6c1e-0489-4c91-9678-a0b76d05f440	1	94021031	99064022	3112	-0.1682
176c6c1e-0489-4c91-9678-a0b76d05f440	1	99064270	107459738	4727	-0.1217
176c6c1e-0489-4c91-9678-a0b76d05f440	1	107460142	112241121	2914	-0.07
176c6c1e-0489-4c91-9678-a0b76d05f440	1	112241359	115070326	1628	-0.1118
176c6c1e-0489-4c91-9678-a0b76d05f440	1	115073336	117299534	1591	-0.1845
176c6c1e-0489-4c91-9678-a0b76d05f440	1	117300031	119051015	960	-0.1055
176c6c1e-0489-4c91-9678-a0b76d05f440	1	119051198	119855725	516	-0.1894
176c6c1e-0489-4c91-9678-a0b76d05f440	1	119855759	157392700	3648	-0.0825
176c6c1e-0489-4c91-9678-a0b76d05f440	1	157396886	158073915	501	-0.0015
176c6c1e-0489-4c91-9678-a0b76d05f440	1	158074570	162019628	2377	-0.0903
176c6c1e-0489-4c91-9678-a0b76d05f440	1	162020316	164418570	1814	-0.1413
176c6c1e-0489-4c91-9678-a0b76d05f440	1	164418999	164979408	463	-0.2141
176c6c1e-0489-4c91-9678-a0b76d05f440	1	164979508	165683078	679	-0.1463
176c6c1e-0489-4c91-9678-a0b76d05f440	1	165685211	165751342	42	0.0258
176c6c1e-0489-4c91-9678-a0b76d05f440	1	165758175	167457187	1233	-0.1049
176c6c1e-0489-4c91-9678-a0b76d05f440	1	167457560	167599785	139	-0.0018
176c6c1e-0489-4c91-9678-a0b76d05f440	1	167599827	167600216	2	-1.1834
176c6c1e-0489-4c91-9678-a0b76d05f440	1	167602924	170096814	1848	-0.0928
