GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f84f8f63-06bf-40c7-8ba8-439aaf360c89	1	3301765	247556601	129580	0.0037
f84f8f63-06bf-40c7-8ba8-439aaf360c89	1	247559822	247565660	10	-0.8639
f84f8f63-06bf-40c7-8ba8-439aaf360c89	1	247567547	247650984	50	0.0266
f84f8f63-06bf-40c7-8ba8-439aaf360c89	2	480597	241537572	132125	0.0027
f84f8f63-06bf-40c7-8ba8-439aaf360c89	3	2170634	197812401	107116	0.0026
f84f8f63-06bf-40c7-8ba8-439aaf360c89	4	1059384	161272827	89554	0.0049
f84f8f63-06bf-40c7-8ba8-439aaf360c89	4	161273192	161283959	15	-0.9976
f84f8f63-06bf-40c7-8ba8-439aaf360c89	4	161284500	187842528	13862	0.003
f84f8f63-06bf-40c7-8ba8-439aaf360c89	5	913983	180934240	101062	0.0028
f84f8f63-06bf-40c7-8ba8-439aaf360c89	6	1011760	148180808	83833	0.0024
f84f8f63-06bf-40c7-8ba8-439aaf360c89	6	148185476	148185808	2	-2.1059
f84f8f63-06bf-40c7-8ba8-439aaf360c89	6	148186119	170596889	13267	-0.0023
f84f8f63-06bf-40c7-8ba8-439aaf360c89	7	664936	158592540	81908	-0.0004
f84f8f63-06bf-40c7-8ba8-439aaf360c89	8	667625	144182542	82200	0.0021
f84f8f63-06bf-40c7-8ba8-439aaf360c89	9	789794	19705638	12041	0.0016
f84f8f63-06bf-40c7-8ba8-439aaf360c89	9	19710068	19711016	2	-1.4804
f84f8f63-06bf-40c7-8ba8-439aaf360c89	9	19711277	138044505	56407	0.004
f84f8f63-06bf-40c7-8ba8-439aaf360c89	10	366509	19681959	14060	0.0019
f84f8f63-06bf-40c7-8ba8-439aaf360c89	10	19684167	19755866	44	-0.7994
f84f8f63-06bf-40c7-8ba8-439aaf360c89	10	19757747	133411599	67132	0.004
f84f8f63-06bf-40c7-8ba8-439aaf360c89	11	456012	134272740	77545	0.0034
f84f8f63-06bf-40c7-8ba8-439aaf360c89	12	780472	132605822	74306	0.0015
f84f8f63-06bf-40c7-8ba8-439aaf360c89	13	18874255	114226675	56957	0.0018
f84f8f63-06bf-40c7-8ba8-439aaf360c89	14	20033191	105533894	49748	0.0049
f84f8f63-06bf-40c7-8ba8-439aaf360c89	15	23437561	101344124	44770	0.0046
f84f8f63-06bf-40c7-8ba8-439aaf360c89	16	603333	89317317	41192	0.0045
f84f8f63-06bf-40c7-8ba8-439aaf360c89	17	1074619	82959812	37259	0.0029
f84f8f63-06bf-40c7-8ba8-439aaf360c89	18	326691	79349796	42939	0.0008
f84f8f63-06bf-40c7-8ba8-439aaf360c89	19	283868	58370362	24140	-0.0023
f84f8f63-06bf-40c7-8ba8-439aaf360c89	20	472817	63588502	37538	0.0029
f84f8f63-06bf-40c7-8ba8-439aaf360c89	21	13974127	46262057	20590	-0.0008
f84f8f63-06bf-40c7-8ba8-439aaf360c89	22	16934932	48940621	17086	0.0052
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	3236359	32012625	13172	0.0048
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	32012637	32014293	3	-2.9541
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	32014394	39219237	2905	0.011
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	39219774	39219999	2	-4.2037
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	39220778	101638404	23009	0.0139
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	101638430	101640073	2	-3.1117
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	101641383	118112068	7564	0.0129
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	118135619	118136334	2	-3.392
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	118138747	130162420	5956	0.0089
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	130162440	130162620	2	-4.138
f84f8f63-06bf-40c7-8ba8-439aaf360c89	X	130163534	155677414	11184	0.0093
