GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	3301765	37357318	18328	0.1965
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	37374921	39013615	897	-0.1164
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	39017457	40069170	489	2.277
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	40073404	47522006	3936	-0.0961
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	47522398	51143978	1901	-0.0254
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	51144965	55048858	2158	-0.0789
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	55050064	67891153	9420	-0.0187
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	67891189	88617580	12362	0.0176
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	88624621	93966033	3005	-0.0244
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	93966413	99904217	3812	0.0353
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	99906499	99906514	2	-1.5319
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	99906686	103444883	2013	0.0267
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	103458421	103524378	27	2.795
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	103793015	103808944	8	0.0005
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	103817466	104351917	297	2.1133
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	104353539	109461767	2767	0.0204
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	109467356	109960000	245	2.0548
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	109970747	114675792	3026	-0.0263
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	114677229	114677962	2	-1.7932
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	114681879	115143181	307	-0.0149
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	115144645	116179894	764	2.3104
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	116181538	149952216	2327	0.0048
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	149958935	151565936	596	0.3174
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	151568809	153487977	1122	0.3993
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	153488899	156725712	1450	0.3322
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	156725745	160163120	2222	0.4064
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	160164107	161976937	984	0.3608
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	161978337	185819584	15993	0.4362
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	185820718	199506368	8009	0.4714
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	199510499	206773321	4559	0.3887
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	206778859	213741571	4824	0.4376
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	213741760	222151513	5824	0.4809
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	222151895	226817303	2591	0.4378
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	226819271	226819481	2	-2.9185
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	226825995	236736803	6497	0.4497
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	236736917	239876645	2447	0.4981
eb822df4-58af-442e-ad9b-d68618d6f4e8	1	239876798	247650984	4456	0.4587
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	480597	88831240	50742	0.2711
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	88831554	101686602	3019	-0.0706
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	101692928	109373831	4722	-0.0066
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	109375752	109376752	2	-1.589
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	109376808	127164656	8502	-0.0136
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	127164716	128554825	727	-0.0858
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	128555570	137119628	4348	-0.0215
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	137119649	162142342	14163	0.0175
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	162142431	167587109	3032	0.0543
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	167589408	178459917	6965	-0.0169
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	178464062	195398860	8232	0.037
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	195399215	200786819	3173	0.0039
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	200787325	203675295	1257	-0.0549
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	203679933	209908969	3926	-0.002
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	209911905	217887089	5026	0.0291
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	217889539	219548412	801	-0.0865
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	219550356	229639176	6632	0.0167
eb822df4-58af-442e-ad9b-d68618d6f4e8	2	229639874	241537572	6818	-0.0531
eb822df4-58af-442e-ad9b-d68618d6f4e8	3	2170634	9081264	4057	0.0313
eb822df4-58af-442e-ad9b-d68618d6f4e8	3	9081406	16208561	4579	-0.0356
eb822df4-58af-442e-ad9b-d68618d6f4e8	3	16209067	31640421	9092	0.0374
eb822df4-58af-442e-ad9b-d68618d6f4e8	3	31645314	33175242	929	-0.0385
