GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
019c7dd9-7f20-43e9-839b-bd326f076460	1	3301765	7884204	2977	0.0301
019c7dd9-7f20-43e9-839b-bd326f076460	1	7887213	29909160	11263	-0.3075
019c7dd9-7f20-43e9-839b-bd326f076460	1	29909710	29911764	2	-2.9651
019c7dd9-7f20-43e9-839b-bd326f076460	1	29911805	31148580	766	-0.304
019c7dd9-7f20-43e9-839b-bd326f076460	1	31150820	31152499	2	-3.1174
019c7dd9-7f20-43e9-839b-bd326f076460	1	31152542	49343731	9876	-0.3005
019c7dd9-7f20-43e9-839b-bd326f076460	1	49347635	49443468	48	-0.7071
019c7dd9-7f20-43e9-839b-bd326f076460	1	49448451	119984738	43187	-0.3009
019c7dd9-7f20-43e9-839b-bd326f076460	1	119984772	186591846	22852	0.3274
019c7dd9-7f20-43e9-839b-bd326f076460	1	186592132	192226683	3254	0.2671
019c7dd9-7f20-43e9-839b-bd326f076460	1	192227262	247650984	35553	0.3113
019c7dd9-7f20-43e9-839b-bd326f076460	2	480597	132884961	69451	0.0275
019c7dd9-7f20-43e9-839b-bd326f076460	2	132887954	133142502	209	-0.3737
019c7dd9-7f20-43e9-839b-bd326f076460	2	133142556	148404807	8500	0.0083
019c7dd9-7f20-43e9-839b-bd326f076460	2	148409251	206850227	32937	0.0315
019c7dd9-7f20-43e9-839b-bd326f076460	2	206850653	241537572	21123	0.013
019c7dd9-7f20-43e9-839b-bd326f076460	3	2170634	14113711	7233	0.0374
019c7dd9-7f20-43e9-839b-bd326f076460	3	14118755	14173238	49	0.3922
019c7dd9-7f20-43e9-839b-bd326f076460	3	14175789	23841830	5337	0.0257
019c7dd9-7f20-43e9-839b-bd326f076460	3	23847320	76473287	31597	0.0499
019c7dd9-7f20-43e9-839b-bd326f076460	3	76474163	162550938	45110	0.0311
019c7dd9-7f20-43e9-839b-bd326f076460	3	162552895	167191488	1835	-0.0151
019c7dd9-7f20-43e9-839b-bd326f076460	3	167193123	175154111	4392	0.0439
019c7dd9-7f20-43e9-839b-bd326f076460	3	175163075	175264943	111	-0.5458
019c7dd9-7f20-43e9-839b-bd326f076460	3	175268370	175360729	94	-0.7955
019c7dd9-7f20-43e9-839b-bd326f076460	3	176041258	197812401	11457	0.0346
019c7dd9-7f20-43e9-839b-bd326f076460	4	1059384	90825433	50699	0.0097
019c7dd9-7f20-43e9-839b-bd326f076460	4	90826305	91116800	206	-0.3229
019c7dd9-7f20-43e9-839b-bd326f076460	4	91122523	130183809	21659	0.0048
019c7dd9-7f20-43e9-839b-bd326f076460	4	130183917	137783333	3526	-0.0456
019c7dd9-7f20-43e9-839b-bd326f076460	4	137785168	142307761	2949	0.0104
019c7dd9-7f20-43e9-839b-bd326f076460	4	142308218	142452757	101	-0.3931
019c7dd9-7f20-43e9-839b-bd326f076460	4	142452768	155086727	6842	0.0169
019c7dd9-7f20-43e9-839b-bd326f076460	4	155086774	185956477	16424	-0.0128
019c7dd9-7f20-43e9-839b-bd326f076460	4	185958460	187842528	1106	0.0249
019c7dd9-7f20-43e9-839b-bd326f076460	5	913983	8666554	5632	0.29
019c7dd9-7f20-43e9-839b-bd326f076460	5	8671743	17286788	5172	0.3272
019c7dd9-7f20-43e9-839b-bd326f076460	5	17287669	19902606	1303	0.2779
019c7dd9-7f20-43e9-839b-bd326f076460	5	19902668	20386560	252	0.4943
019c7dd9-7f20-43e9-839b-bd326f076460	5	20566972	31047619	5585	0.2846
019c7dd9-7f20-43e9-839b-bd326f076460	5	31048909	45378354	8193	0.3275
019c7dd9-7f20-43e9-839b-bd326f076460	5	45383300	59500309	5590	-0.3086
019c7dd9-7f20-43e9-839b-bd326f076460	5	59501405	59506639	2	-2.0719
019c7dd9-7f20-43e9-839b-bd326f076460	5	59506869	59841962	227	-0.3216
019c7dd9-7f20-43e9-839b-bd326f076460	5	59844517	59961344	81	-1.6471
019c7dd9-7f20-43e9-839b-bd326f076460	5	59969478	142091745	44580	-0.3134
019c7dd9-7f20-43e9-839b-bd326f076460	5	142095613	142095801	2	-2.3832
019c7dd9-7f20-43e9-839b-bd326f076460	5	142100268	158102219	10587	-0.316
019c7dd9-7f20-43e9-839b-bd326f076460	5	158102356	158103236	2	1.6659
019c7dd9-7f20-43e9-839b-bd326f076460	5	158106426	180934240	13911	-0.3322
019c7dd9-7f20-43e9-839b-bd326f076460	6	1011760	40334962	23892	0.0263
019c7dd9-7f20-43e9-839b-bd326f076460	6	40335597	40335797	2	-2.3312
019c7dd9-7f20-43e9-839b-bd326f076460	6	40336964	65447198	12117	0.0392
019c7dd9-7f20-43e9-839b-bd326f076460	6	65447274	69295171	2287	-0.0076
019c7dd9-7f20-43e9-839b-bd326f076460	6	69296339	71506129	1206	0.0272
019c7dd9-7f20-43e9-839b-bd326f076460	6	71508451	71509021	3	-2.1687
019c7dd9-7f20-43e9-839b-bd326f076460	6	71509073	71509246	2	-7.4658
019c7dd9-7f20-43e9-839b-bd326f076460	6	71510011	71512842	3	-1.6479
019c7dd9-7f20-43e9-839b-bd326f076460	6	71516300	106555662	19564	0.0226
019c7dd9-7f20-43e9-839b-bd326f076460	6	106556257	106578448	22	-0.7149
019c7dd9-7f20-43e9-839b-bd326f076460	6	106580964	133413903	15737	0.0292
019c7dd9-7f20-43e9-839b-bd326f076460	6	133414899	133453113	30	-0.4138
019c7dd9-7f20-43e9-839b-bd326f076460	6	133453709	162700862	18486	0.0207
019c7dd9-7f20-43e9-839b-bd326f076460	6	162701188	162978330	171	-0.4052
019c7dd9-7f20-43e9-839b-bd326f076460	6	162979117	169184293	3016	-0.0065
019c7dd9-7f20-43e9-839b-bd326f076460	6	169184545	169184560	2	-2.86
019c7dd9-7f20-43e9-839b-bd326f076460	6	169186279	170596889	643	-0.0088
019c7dd9-7f20-43e9-839b-bd326f076460	7	664936	12416213	5219	0.5354
019c7dd9-7f20-43e9-839b-bd326f076460	7	12422238	14723051	1723	0.2982
019c7dd9-7f20-43e9-839b-bd326f076460	7	14725446	15906473	774	0.5241
019c7dd9-7f20-43e9-839b-bd326f076460	7	15908120	41734408	16323	0.5584
019c7dd9-7f20-43e9-839b-bd326f076460	7	41735097	57130954	9532	0.5342
019c7dd9-7f20-43e9-839b-bd326f076460	7	57134459	110759142	22940	0.0283
019c7dd9-7f20-43e9-839b-bd326f076460	7	110762262	110860412	53	-0.3703
019c7dd9-7f20-43e9-839b-bd326f076460	7	110861061	113303801	908	0.0238
019c7dd9-7f20-43e9-839b-bd326f076460	7	113305241	117309607	2321	-0.3261
019c7dd9-7f20-43e9-839b-bd326f076460	7	117311821	123074302	3110	0.0294
019c7dd9-7f20-43e9-839b-bd326f076460	7	123076858	123251815	73	-0.3206
019c7dd9-7f20-43e9-839b-bd326f076460	7	123252144	123801346	311	0.0058
019c7dd9-7f20-43e9-839b-bd326f076460	7	123803773	128448919	2589	-0.3324
019c7dd9-7f20-43e9-839b-bd326f076460	7	128736608	134042656	3001	0.0246
019c7dd9-7f20-43e9-839b-bd326f076460	7	134042744	134226665	41	-0.3021
019c7dd9-7f20-43e9-839b-bd326f076460	7	134230474	136060891	1220	0.0217
019c7dd9-7f20-43e9-839b-bd326f076460	7	136063217	136087920	16	-0.4489
019c7dd9-7f20-43e9-839b-bd326f076460	7	136088816	136461081	271	0.0307
019c7dd9-7f20-43e9-839b-bd326f076460	7	136465696	137147852	424	-0.3527
019c7dd9-7f20-43e9-839b-bd326f076460	7	137148336	142013402	2845	0.0292
019c7dd9-7f20-43e9-839b-bd326f076460	7	142017425	143506678	476	-0.3478
019c7dd9-7f20-43e9-839b-bd326f076460	7	143507648	152106482	4406	0.0114
019c7dd9-7f20-43e9-839b-bd326f076460	7	152106762	155793406	1870	-0.333
019c7dd9-7f20-43e9-839b-bd326f076460	7	155793431	157380779	975	0.0441
019c7dd9-7f20-43e9-839b-bd326f076460	7	157381290	158592540	545	-0.3484
019c7dd9-7f20-43e9-839b-bd326f076460	8	667625	31391397	18519	-0.3413
019c7dd9-7f20-43e9-839b-bd326f076460	8	31391472	32282512	649	-0.009
019c7dd9-7f20-43e9-839b-bd326f076460	8	32287466	32977039	548	0.2803
019c7dd9-7f20-43e9-839b-bd326f076460	8	32984135	35775768	1435	-0.362
019c7dd9-7f20-43e9-839b-bd326f076460	8	35776174	35791423	6	-1.2562
019c7dd9-7f20-43e9-839b-bd326f076460	8	35791462	40347025	2263	-0.3402
019c7dd9-7f20-43e9-839b-bd326f076460	8	40350572	40908198	414	0.2903
019c7dd9-7f20-43e9-839b-bd326f076460	8	40908672	41884040	602	0.7278
019c7dd9-7f20-43e9-839b-bd326f076460	8	41885875	48398653	1384	0.526
019c7dd9-7f20-43e9-839b-bd326f076460	8	48402264	48499541	62	0.4122
019c7dd9-7f20-43e9-839b-bd326f076460	8	48499856	52136072	2042	0.7155
019c7dd9-7f20-43e9-839b-bd326f076460	8	52137739	54393262	1276	0.5446
019c7dd9-7f20-43e9-839b-bd326f076460	8	54393448	54905169	327	0.6763
019c7dd9-7f20-43e9-839b-bd326f076460	8	54905273	88823590	19417	0.5149
019c7dd9-7f20-43e9-839b-bd326f076460	8	88824557	89085269	203	0.2722
019c7dd9-7f20-43e9-839b-bd326f076460	8	89085657	89321476	208	0.5014
019c7dd9-7f20-43e9-839b-bd326f076460	8	89321506	89321628	2	-1.1483
019c7dd9-7f20-43e9-839b-bd326f076460	8	89321705	103431897	8302	0.521
019c7dd9-7f20-43e9-839b-bd326f076460	8	103432781	116321584	6728	0.4898
019c7dd9-7f20-43e9-839b-bd326f076460	8	116322078	144182542	17867	0.5207
019c7dd9-7f20-43e9-839b-bd326f076460	9	789794	83693882	34293	-0.3085
019c7dd9-7f20-43e9-839b-bd326f076460	9	83694354	83758989	40	-0.8445
019c7dd9-7f20-43e9-839b-bd326f076460	9	83759828	134958563	33161	-0.306
019c7dd9-7f20-43e9-839b-bd326f076460	9	134964107	135173958	158	-0.8183
019c7dd9-7f20-43e9-839b-bd326f076460	9	135174246	138044505	830	-0.3228
019c7dd9-7f20-43e9-839b-bd326f076460	10	366509	19261149	13755	0.0243
019c7dd9-7f20-43e9-839b-bd326f076460	10	19262329	19262831	2	-1.6529
019c7dd9-7f20-43e9-839b-bd326f076460	10	19263428	51122115	16216	0.0251
019c7dd9-7f20-43e9-839b-bd326f076460	10	51127999	51246151	94	-0.2899
019c7dd9-7f20-43e9-839b-bd326f076460	10	51246166	51501757	212	0.0831
019c7dd9-7f20-43e9-839b-bd326f076460	10	51502381	51731430	168	-0.3301
019c7dd9-7f20-43e9-839b-bd326f076460	10	51735263	51780758	32	0.0428
019c7dd9-7f20-43e9-839b-bd326f076460	10	51780794	51864437	43	-0.393
019c7dd9-7f20-43e9-839b-bd326f076460	10	51865323	52098088	225	0.0868
019c7dd9-7f20-43e9-839b-bd326f076460	10	52099680	52206972	91	-0.2805
019c7dd9-7f20-43e9-839b-bd326f076460	10	52210228	58446020	3513	0.0152
019c7dd9-7f20-43e9-839b-bd326f076460	10	58446356	62410849	2753	0.0656
019c7dd9-7f20-43e9-839b-bd326f076460	10	62415418	76258430	7820	0.026
019c7dd9-7f20-43e9-839b-bd326f076460	10	76259510	76336971	66	-0.3511
019c7dd9-7f20-43e9-839b-bd326f076460	10	76337014	80412823	2585	0.0178
019c7dd9-7f20-43e9-839b-bd326f076460	10	80412901	80413166	2	-1.4551
019c7dd9-7f20-43e9-839b-bd326f076460	10	80414800	80561868	98	0.0419
019c7dd9-7f20-43e9-839b-bd326f076460	10	80565146	80566788	3	-1.4136
019c7dd9-7f20-43e9-839b-bd326f076460	10	80566975	133411599	33633	0.0288
019c7dd9-7f20-43e9-839b-bd326f076460	11	456012	3701657	1058	0.0052
019c7dd9-7f20-43e9-839b-bd326f076460	11	3709637	3826520	68	-0.3476
019c7dd9-7f20-43e9-839b-bd326f076460	11	3828610	134272740	76482	0.0257
019c7dd9-7f20-43e9-839b-bd326f076460	12	780472	10176099	5160	0.026
019c7dd9-7f20-43e9-839b-bd326f076460	12	10204175	10773758	307	-0.3042
019c7dd9-7f20-43e9-839b-bd326f076460	12	10773890	12122001	831	0.0428
019c7dd9-7f20-43e9-839b-bd326f076460	12	12129953	14109321	1308	-0.3105
019c7dd9-7f20-43e9-839b-bd326f076460	12	14109611	14665837	281	0.0202
019c7dd9-7f20-43e9-839b-bd326f076460	12	14666198	14849893	98	-0.3124
019c7dd9-7f20-43e9-839b-bd326f076460	12	14850273	16341676	897	0.0449
019c7dd9-7f20-43e9-839b-bd326f076460	12	16342244	16589780	193	-0.274
019c7dd9-7f20-43e9-839b-bd326f076460	12	16590231	16623181	26	0.0585
019c7dd9-7f20-43e9-839b-bd326f076460	12	16623935	16637257	8	-0.6759
019c7dd9-7f20-43e9-839b-bd326f076460	12	16640942	16800056	92	0.0562
019c7dd9-7f20-43e9-839b-bd326f076460	12	16800691	18131016	751	-0.3239
019c7dd9-7f20-43e9-839b-bd326f076460	12	18131348	33368172	9769	0.0195
019c7dd9-7f20-43e9-839b-bd326f076460	12	33368216	39147710	155	0.2879
019c7dd9-7f20-43e9-839b-bd326f076460	12	39147877	132605822	54490	0.0169
019c7dd9-7f20-43e9-839b-bd326f076460	13	18874255	73049535	30844	0.3083
019c7dd9-7f20-43e9-839b-bd326f076460	13	73056482	73263424	159	0.5905
019c7dd9-7f20-43e9-839b-bd326f076460	13	73263577	81073742	5218	0.3057
019c7dd9-7f20-43e9-839b-bd326f076460	13	81077492	90174932	5074	0.2669
019c7dd9-7f20-43e9-839b-bd326f076460	13	90176263	114226675	15721	0.3073
019c7dd9-7f20-43e9-839b-bd326f076460	14	20033191	29254523	4523	-0.3038
019c7dd9-7f20-43e9-839b-bd326f076460	14	29258648	29259148	2	1.8383
019c7dd9-7f20-43e9-839b-bd326f076460	14	29262456	46121707	8857	-0.3014
019c7dd9-7f20-43e9-839b-bd326f076460	14	46122855	46122974	2	-2.2657
019c7dd9-7f20-43e9-839b-bd326f076460	14	46123697	53309428	4201	-0.3156
