GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ac026569-058b-4457-833f-8021feda1009	1	3301765	6895273	2292	-1.0073
ac026569-058b-4457-833f-8021feda1009	1	6899900	22994786	8779	-0.0732
ac026569-058b-4457-833f-8021feda1009	1	23001322	26127712	1490	-0.9678
ac026569-058b-4457-833f-8021feda1009	1	26140173	53010517	13800	-0.0727
ac026569-058b-4457-833f-8021feda1009	1	53011528	55909607	1996	-0.9684
ac026569-058b-4457-833f-8021feda1009	1	55909822	56860182	716	-0.0267
ac026569-058b-4457-833f-8021feda1009	1	56860267	60948766	3039	-0.0927
ac026569-058b-4457-833f-8021feda1009	1	60949592	61478477	378	-0.0463
ac026569-058b-4457-833f-8021feda1009	1	61480599	62482771	714	-0.1459
ac026569-058b-4457-833f-8021feda1009	1	62485187	72498429	6407	-0.0785
ac026569-058b-4457-833f-8021feda1009	1	72499576	72526006	19	-0.8157
ac026569-058b-4457-833f-8021feda1009	1	72531634	76482542	2324	-0.105
ac026569-058b-4457-833f-8021feda1009	1	76489976	153654379	27928	-0.0704
ac026569-058b-4457-833f-8021feda1009	1	153657648	156098051	1073	-0.096
ac026569-058b-4457-833f-8021feda1009	1	156108458	220262657	41454	0.4497
ac026569-058b-4457-833f-8021feda1009	1	220263031	220267376	5	-0.6247
ac026569-058b-4457-833f-8021feda1009	1	220269027	233229552	7932	0.4541
ac026569-058b-4457-833f-8021feda1009	1	233230022	243835168	7612	0.4248
ac026569-058b-4457-833f-8021feda1009	1	243835184	247650984	1746	0.4555
ac026569-058b-4457-833f-8021feda1009	2	480597	11718787	7026	-0.973
ac026569-058b-4457-833f-8021feda1009	2	11721794	16006197	2901	-0.0658
ac026569-058b-4457-833f-8021feda1009	2	16007911	17376008	964	-0.0019
ac026569-058b-4457-833f-8021feda1009	2	17376695	19097295	1221	-0.0613
ac026569-058b-4457-833f-8021feda1009	2	19100277	19101069	2	-1.5784
ac026569-058b-4457-833f-8021feda1009	2	19102061	58123436	22049	-0.0577
ac026569-058b-4457-833f-8021feda1009	2	58129775	61661567	2159	0.4808
ac026569-058b-4457-833f-8021feda1009	2	61675466	76990184	8858	-0.0591
ac026569-058b-4457-833f-8021feda1009	2	76998961	83725918	3483	-0.0972
ac026569-058b-4457-833f-8021feda1009	2	83729283	83734221	5	0.6862
ac026569-058b-4457-833f-8021feda1009	2	83735880	84205176	269	-0.1104
ac026569-058b-4457-833f-8021feda1009	2	84206517	152731078	31984	-0.0608
ac026569-058b-4457-833f-8021feda1009	2	152740132	152740405	2	1.6373
ac026569-058b-4457-833f-8021feda1009	2	152743235	241537572	51222	-0.0645
ac026569-058b-4457-833f-8021feda1009	3	2170634	2965809	294	0.4722
ac026569-058b-4457-833f-8021feda1009	3	2966058	28264171	15154	-0.0559
ac026569-058b-4457-833f-8021feda1009	3	28264531	48241004	11780	-0.9543
ac026569-058b-4457-833f-8021feda1009	3	48244725	78521907	18125	-0.0592
ac026569-058b-4457-833f-8021feda1009	3	78522131	100571707	9246	-0.0958
ac026569-058b-4457-833f-8021feda1009	3	100575675	137934192	21528	-0.0629
ac026569-058b-4457-833f-8021feda1009	3	137934460	140133425	1202	-0.11
ac026569-058b-4457-833f-8021feda1009	3	140133482	157855518	9468	-0.076
ac026569-058b-4457-833f-8021feda1009	3	157856287	166972244	4204	-0.1077
ac026569-058b-4457-833f-8021feda1009	3	166972434	187245342	10526	-0.063
ac026569-058b-4457-833f-8021feda1009	3	187246870	187247480	2	-1.3641
ac026569-058b-4457-833f-8021feda1009	3	187250191	197812401	5609	-0.0581
ac026569-058b-4457-833f-8021feda1009	4	1059384	1790291	227	-0.0461
ac026569-058b-4457-833f-8021feda1009	4	1791556	1796125	2	-1.1895
ac026569-058b-4457-833f-8021feda1009	4	1796225	7015456	3007	-0.0608
ac026569-058b-4457-833f-8021feda1009	4	7018558	11895573	2957	-0.0336
ac026569-058b-4457-833f-8021feda1009	4	11896497	24667064	8606	-0.0835
ac026569-058b-4457-833f-8021feda1009	4	24667650	27938891	2123	-0.0379
ac026569-058b-4457-833f-8021feda1009	4	27939139	35024491	4119	-0.0928
ac026569-058b-4457-833f-8021feda1009	4	35024655	44141366	5352	-0.0558
ac026569-058b-4457-833f-8021feda1009	4	44145217	57703135	5823	-0.0843
ac026569-058b-4457-833f-8021feda1009	4	57703590	66906191	4998	-0.108
ac026569-058b-4457-833f-8021feda1009	4	66906601	69776997	1011	-0.075
ac026569-058b-4457-833f-8021feda1009	4	69779937	86615463	9989	-0.0514
ac026569-058b-4457-833f-8021feda1009	4	86617313	152078083	35978	-0.0758
ac026569-058b-4457-833f-8021feda1009	4	152080510	154778991	1572	-0.0266
ac026569-058b-4457-833f-8021feda1009	4	154779064	187842528	17739	-0.0735
ac026569-058b-4457-833f-8021feda1009	5	913983	1428688	129	1.1587
ac026569-058b-4457-833f-8021feda1009	5	1880474	18168337	11030	0.4667
ac026569-058b-4457-833f-8021feda1009	5	18168447	58617552	19905	0.4444
ac026569-058b-4457-833f-8021feda1009	5	58617602	91770875	17893	0.4626
ac026569-058b-4457-833f-8021feda1009	5	91771022	91785021	11	-1.1268
ac026569-058b-4457-833f-8021feda1009	5	91787870	180934240	52167	0.4571
ac026569-058b-4457-833f-8021feda1009	6	1011760	77375124	42979	-0.0818
ac026569-058b-4457-833f-8021feda1009	6	77375789	77376404	2	-2.0841
ac026569-058b-4457-833f-8021feda1009	6	77376968	87914719	5794	-0.0921
ac026569-058b-4457-833f-8021feda1009	6	87914826	91856428	2426	-0.0373
ac026569-058b-4457-833f-8021feda1009	6	91859832	93037616	782	-0.0887
ac026569-058b-4457-833f-8021feda1009	6	93038615	93038981	3	-1.6453
ac026569-058b-4457-833f-8021feda1009	6	93039443	106446187	6979	-0.0906
ac026569-058b-4457-833f-8021feda1009	6	106446291	109203736	1628	-0.0348
ac026569-058b-4457-833f-8021feda1009	6	109203879	129025508	11205	-0.0813
ac026569-058b-4457-833f-8021feda1009	6	129025715	130560772	1089	-0.0357
ac026569-058b-4457-833f-8021feda1009	6	130560781	130568234	6	-0.8094
ac026569-058b-4457-833f-8021feda1009	6	130572919	133404638	1903	-0.0423
ac026569-058b-4457-833f-8021feda1009	6	133404690	170596889	22339	-0.075
ac026569-058b-4457-833f-8021feda1009	7	664936	9245717	3410	-0.0633
ac026569-058b-4457-833f-8021feda1009	7	9246844	15997283	4389	-0.0917
ac026569-058b-4457-833f-8021feda1009	7	15999055	35569730	12117	-0.0526
ac026569-058b-4457-833f-8021feda1009	7	35570253	44059070	5292	-0.083
ac026569-058b-4457-833f-8021feda1009	7	44059266	56550099	8274	-0.0493
ac026569-058b-4457-833f-8021feda1009	7	56552117	90899671	12225	-0.086
ac026569-058b-4457-833f-8021feda1009	7	90900240	90902693	2	-1.6464
ac026569-058b-4457-833f-8021feda1009	7	90903618	141421784	27636	-0.0758
ac026569-058b-4457-833f-8021feda1009	7	141422202	158592540	8578	-0.0544
ac026569-058b-4457-833f-8021feda1009	8	667625	903734	137	-1.1028
ac026569-058b-4457-833f-8021feda1009	8	903837	904082	2	-6.7199
ac026569-058b-4457-833f-8021feda1009	8	904198	4655845	1970	-0.9629
ac026569-058b-4457-833f-8021feda1009	8	4659550	4659763	3	-2.9929
ac026569-058b-4457-833f-8021feda1009	8	4659920	38218299	20074	-0.9604
ac026569-058b-4457-833f-8021feda1009	8	38220559	69752629	16091	-0.052
ac026569-058b-4457-833f-8021feda1009	8	69754489	78396552	5130	-0.0827
ac026569-058b-4457-833f-8021feda1009	8	78399813	82955009	2465	-0.045
ac026569-058b-4457-833f-8021feda1009	8	82955572	88762215	2920	-0.0958
ac026569-058b-4457-833f-8021feda1009	8	88762701	109637876	12028	-0.0571
ac026569-058b-4457-833f-8021feda1009	8	109638381	117157696	3961	-0.0879
ac026569-058b-4457-833f-8021feda1009	8	117158184	127728722	7301	-0.0562
ac026569-058b-4457-833f-8021feda1009	8	127742317	133559723	4171	0.483
ac026569-058b-4457-833f-8021feda1009	8	133560336	139288625	4325	0.4489
ac026569-058b-4457-833f-8021feda1009	8	139288957	144182542	1538	0.5007
ac026569-058b-4457-833f-8021feda1009	9	789794	2221037	844	-0.0796
ac026569-058b-4457-833f-8021feda1009	9	2226437	2226445	2	-1.4352
ac026569-058b-4457-833f-8021feda1009	9	2226756	3829793	1209	-0.08
ac026569-058b-4457-833f-8021feda1009	9	3831932	3834432	7	-1.1864
ac026569-058b-4457-833f-8021feda1009	9	3836167	21626847	11433	-0.0696
ac026569-058b-4457-833f-8021feda1009	9	21701943	21914589	134	-0.8717
ac026569-058b-4457-833f-8021feda1009	9	21918581	21959052	31	-3.8983
ac026569-058b-4457-833f-8021feda1009	9	21963431	21986219	7	-1.4373
ac026569-058b-4457-833f-8021feda1009	9	21988393	22204446	177	-0.7896
ac026569-058b-4457-833f-8021feda1009	9	22205498	35533351	7663	-0.0866
ac026569-058b-4457-833f-8021feda1009	9	35533695	71711971	4584	-0.0558
ac026569-058b-4457-833f-8021feda1009	9	71712045	83015706	7663	-0.0828
ac026569-058b-4457-833f-8021feda1009	9	83015719	88360113	3790	-0.1048
ac026569-058b-4457-833f-8021feda1009	9	88368416	109038936	13266	-0.0689
ac026569-058b-4457-833f-8021feda1009	9	109039045	117431867	5901	-0.0455
ac026569-058b-4457-833f-8021feda1009	9	117432210	119647628	1679	-0.0969
ac026569-058b-4457-833f-8021feda1009	9	119648035	127465489	4907	-0.0427
